Bien jurídico afectado;(Todas);;;;;;;;;;;;
Tipo de delito;(Todas);;;;;;;;;;;;
Subtipo de delito;(Todas);;;;;;;;;;;;
Modalidad;(Todas);;;;;;;;;;;;
;;;;;;;;;;;;;
Suma de Total;;;Etiquetas de columna;;;;;;;;;;
Etiquetas de fila;Cve# Municipio;Municipio;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Chihuahua;8041;Maguarichi;7;3;4;4;14;2;2;7;5;14;8
Chihuahua;8042;Manuel Benavides;4;2;3;2;6;14;5;2;1;4;2
Chihuahua;8043;Matachí;6;12;12;18;17;23;22;16;13;11;17
Chihuahua;8044;Matamoros;25;17;29;46;35;31;59;37;36;57;50
Chihuahua;8045;Meoqui;768;749;763;870;977;749;964;929;943;860;817
Chihuahua;8046;Morelos;20;28;17;12;15;7;13;8;10;4;11
Chihuahua;8047;Moris;30;8;6;13;11;8;11;14;13;17;40
Chihuahua;8048;Namiquipa;97;111;114;107;64;69;74;106;106;97;156
Chihuahua;8049;Nonoava;10;14;31;22;18;11;20;18;20;15;17
Chihuahua;8050;Nuevo Casas Grandes;967;641;855;952;918;772;846;825;1149;1589;1661
Chihuahua;8051;Ocampo;56;61;62;77;120;106;50;54;64;78;88
Chihuahua;8052;Ojinaga;132;89;119;164;142;91;115;117;101;103;103
Chihuahua;8053;Praxedis G. Guerrero;35;37;24;19;21;27;23;52;36;26;25
Chihuahua;8054;Riva Palacio;55;47;34;32;23;16;34;40;22;26;43
Chihuahua;8055;Rosales;154;196;209;223;230;202;223;237;250;195;214
Chihuahua;8056;Rosario;11;10;9;16;10;6;8;10;3;10;3
Chihuahua;8057;San Francisco de Borja;5;2;13;38;19;13;16;19;21;14;12
Chihuahua;8058;San Francisco de Conchos;19;11;14;18;13;7;14;20;7;11;17
Chihuahua;8059;San Francisco del Oro;63;65;65;53;64;83;95;91;76;95;108
Chihuahua;8060;Santa Bárbara;148;143;213;196;267;267;202;286;368;394;245
Chihuahua;8061;Satevó;70;56;57;83;73;92;72;42;55;62;48
Chihuahua;8062;Saucillo;309;365;355;357;396;322;505;391;391;443;432
Chihuahua;8063;Temósachic;36;23;45;55;56;61;58;50;54;44;26
Chihuahua;8064;El Tule;9;5;7;8;5;4;18;12;12;10;6
Chihuahua;8065;Urique;70;54;46;38;62;52;33;59;81;59;61
Chihuahua;8066;Uruachi;26;19;23;25;9;7;9;8;13;12;34
Chihuahua;8067;Valle de Zaragoza;35;34;43;41;50;36;34;30;23;62;58
Ciudad de México;9002;Azcapotzalco;8879;9509;10676;11889;10822;10110;11298;11555;10201;9381;8331
Ciudad de México;9003;Coyoacán;12262;12754;13836;16249;15725;13238;15564;16696;16267;15514;14220
Ciudad de México;9004;Cuajimalpa de Morelos;2560;2657;2857;3326;3787;3251;3872;3980;4294;3900;3683
Ciudad de México;9005;Gustavo A. Madero;18213;17766;20285;24208;24228;21006;23251;23635;23001;21449;19562
Ciudad de México;9006;Iztacalco;7342;7397;8700;10502;10244;7908;9287;11015;10466;9963;9935
Ciudad de México;9007;Iztapalapa;26264;27263;30234;35650;38186;30723;32842;33186;32444;29269;27439
Ciudad de México;9008;La Magdalena Contreras;2330;2811;3016;3471;4007;3959;4397;4652;4823;4535;3717
Ciudad de México;9009;Milpa Alta;1163;1080;1303;1708;1641;1711;2371;2646;2369;2463;2438
Ciudad de México;9010;Álvaro Obregón;10691;11156;12922;15999;17974;14580;15951;15473;15609;14223;13610
Ciudad de México;9011;Tláhuac;3589;3901;4765;5724;6000;5761;7007;7638;7691;6971;6560
Ciudad de México;9012;Tlalpan;9887;11108;11773;13726;14533;12281;13867;14317;14440;14650;13217
Ciudad de México;9013;Xochimilco;6021;5947;6472;7385;7440;6854;7503;7956;7931;7291;6568
Ciudad de México;9014;Benito Juárez;12848;15275;18746;21795;20601;14848;16046;16791;17165;17001;15358
Ciudad de México;9015;Cuauhtémoc;26781;28738;32334;38481;37017;27971;33655;35902;33387;32622;31859
Ciudad de México;9016;Miguel Hidalgo;11168;11766;14620;16056;16214;12420;13590;13644;13873;13274;13252
Ciudad de México;9017;Venustiano Carranza;9156;9696;10930;13875;14419;11487;12644;12973;13174;12349;11391
Ciudad de México;9998;No Especificado;547;896;609;985;0;47;597;585;7340;7898;9244
Coahuila de Zaragoza;5001;Abasolo;7;1;6;10;7;13;9;7;5;15;10
Coahuila de Zaragoza;5002;Acuña;3456;3047;3721;3832;4221;3390;4588;5114;4092;4435;4856
Coahuila de Zaragoza;5003;Allende;504;338;475;575;419;369;417;653;593;632;599
Coahuila de Zaragoza;5004;Arteaga;325;474;495;622;465;401;589;797;648;672;899
Coahuila de Zaragoza;5005;Candela;7;8;6;11;9;17;18;13;31;50;32
Coahuila de Zaragoza;5006;Castaños;505;433;462;515;365;414;388;531;551;492;603
Coahuila de Zaragoza;5007;Cuatro Ciénegas;126;145;217;200;304;229;254;173;252;287;308
Coahuila de Zaragoza;5008;Escobedo;12;12;17;12;19;12;26;20;15;51;29
Coahuila de Zaragoza;5009;Francisco I. Madero;494;379;429;549;599;600;859;1104;1155;1055;1444
Coahuila de Zaragoza;5010;Frontera;1603;1440;1615;1486;1550;1568;1385;1237;1245;1286;1387
Coahuila de Zaragoza;5011;General Cepeda;186;156;137;127;193;96;131;146;173;168;230
Coahuila de Zaragoza;5012;Guerrero;13;27;13;12;15;15;19;9;7;16;2
Coahuila de Zaragoza;5013;Hidalgo;12;17;4;9;8;1;7;6;3;2;7
Coahuila de Zaragoza;5014;Jiménez;91;41;88;25;65;155;150;160;109;126;192
Coahuila de Zaragoza;5015;Juárez;18;3;5;0;4;5;5;8;16;18;33
Coahuila de Zaragoza;5016;Lamadrid;5;6;15;11;17;20;17;10;20;31;12
Coahuila de Zaragoza;5017;Matamoros;897;1120;1733;1576;1724;1872;2589;2892;2904;2466;3020
Coahuila de Zaragoza;5018;Monclova;5268;5257;5192;4885;5301;4773;4434;4272;4162;4358;5257
Coahuila de Zaragoza;5019;Morelos;108;67;68;53;73;138;123;188;82;158;110
Coahuila de Zaragoza;5020;Múzquiz;1557;1155;1024;1004;1209;1300;1468;1652;1830;1620;1528
Coahuila de Zaragoza;5021;Nadadores;53;38;56;45;52;51;68;75;65;99;71
Coahuila de Zaragoza;5022;Nava;510;279;512;425;418;352;343;615;496;604;772
Coahuila de Zaragoza;5023;Ocampo;52;40;69;86;76;62;101;105;90;84;87
Coahuila de Zaragoza;5024;Parras;642;664;610;530;365;580;940;1297;1315;967;1047
Coahuila de Zaragoza;5025;Piedras Negras;4753;3358;4537;4735;4128;3340;4204;5196;4365;4822;6412
Coahuila de Zaragoza;5026;Progreso;20;15;9;10;15;13;7;21;13;35;32
Coahuila de Zaragoza;5027;Ramos Arizpe;1324;1683;1977;1644;1589;1499;1883;1821;1595;1787;2113
Coahuila de Zaragoza;5028;Sabinas;1623;1421;1307;1132;1218;1581;1854;1708;1813;1652;1960
Coahuila de Zaragoza;5029;Sacramento;12;10;16;8;13;13;16;18;24;14;21
Coahuila de Zaragoza;5030;Saltillo;11043;15135;15707;14357;13086;11141;13831;14508;14038;14999;15301
Coahuila de Zaragoza;5031;San Buenaventura;462;277;339;322;262;278;361;442;342;377;374
Coahuila de Zaragoza;5032;San Juan de Sabinas;782;815;731;693;522;573;670;804;680;687;742
Coahuila de Zaragoza;5033;San Pedro;1355;823;815;1635;1458;1465;1739;2367;2081;1732;2027
Coahuila de Zaragoza;5034;Sierra Mojada;49;1;5;0;6;0;4;1;11;5;5
Coahuila de Zaragoza;5035;Torreón;8289;12224;13538;14897;12874;11870;12256;16307;14674;15525;17094
Coahuila de Zaragoza;5036;Viesca;61;50;102;66;112;116;133;153;122;137;236
Coahuila de Zaragoza;5037;Villa Unión;113;56;71;62;74;62;66;57;47;61;68
Coahuila de Zaragoza;5038;Zaragoza;232;227;188;146;102;77;93;124;107;111;229
Colima;6001;Armería;206;275;570;611;465;457;488;605;648;549;647
Colima;6002;Colima;1636;5095;8945;8820;9546;9272;10602;10174;9729;7715;7505
Colima;6003;Comala;100;254;411;362;430;585;645;568;589;553;696
Colima;6004;Coquimatlán;106;246;656;617;640;545;512;693;585;507;640
Colima;6005;Cuauhtémoc;238;368;704;732;795;719;723;620;720;542;535
Colima;6006;Ixtlahuacán;44;57;135;167;177;144;122;110;123;129;106
Colima;6007;Manzanillo;2057;2493;5635;5488;6522;6293;7644;8372;7768;7845;8796
Colima;6008;Minatitlán;36;63;150;201;211;212;235;208;206;236;254
Colima;6009;Tecomán;1289;1946;3462;3408;3541;3250;3187;2541;2818;2730;3283
Colima;6010;Villa de Álvarez;850;2429;3757;4088;4227;3893;4210;4828;4892;4519;4352
Durango;10001;Canatlán;279;186;183;198;172;176;224;218;243;228;169
Durango;10002;Canelas;13;5;6;14;3;3;10;8;8;6;2
Durango;10003;Coneto de Comonfort;2;5;24;1;2;1;0;0;0;0;1
Durango;10004;Cuencamé;214;133;284;227;315;234;272;236;224;234;235
Durango;10005;Durango;17120;18772;20708;19898;17631;14685;15937;14116;12758;11326;9983
Durango;10006;General Simón Bolívar;5;14;5;21;20;9;17;6;11;6;9
Durango;10007;Gómez Palacio;6642;7868;7897;6390;6776;5747;6994;6352;3971;3548;3630
Durango;10008;Guadalupe Victoria;537;369;395;322;316;283;381;307;450;336;341
Durango;10009;Guanaceví;68;24;39;7;39;34;40;44;44;39;20
Durango;10010;Hidalgo;3;3;12;0;5;0;1;0;10;9;10
Durango;10011;Indé;5;1;6;2;1;2;4;2;7;8;9
Durango;10012;Lerdo;1572;2263;2488;1807;2002;2092;2294;2123;1254;1176;1218
Durango;10013;Mapimí;33;115;138;34;217;121;169;133;142;81;91
Durango;10014;Mezquital;176;170;149;161;104;113;140;106;128;114;99
Durango;10015;Nazas;79;52;97;63;72;54;75;58;62;59;71
Durango;10016;Nombre de Dios;195;186;201;217;219;132;237;210;239;254;187
Durango;10017;Ocampo;18;15;29;5;25;25;57;23;47;22;21
Durango;10018;El Oro;66;79;57;69;50;40;54;41;54;43;46
Durango;10019;Otáez;8;5;0;6;5;3;3;3;7;1;5
Durango;10020;Pánuco de Coronado;132;100;79;104;92;71;129;158;134;100;103
Durango;10021;Peñón Blanco;9;26;48;50;58;39;61;40;32;38;29
Durango;10022;Poanas;171;154;185;280;308;253;392;229;276;292;256
Durango;10023;Pueblo Nuevo;324;268;373;433;408;378;418;333;232;180;224
Durango;10024;Rodeo;106;90;155;83;83;101;77;62;93;80;77
Durango;10025;San Bernardo;1;3;2;0;0;0;23;1;25;4;7
Durango;10026;San Dimas;93;63;68;39;38;42;57;71;43;41;34
Durango;10027;San Juan de Guadalupe;0;2;10;2;6;7;47;1;5;1;2
Durango;10028;San Juan del Río;91;109;158;136;107;132;97;100;160;126;116
