Bien jurídico afectado;(Todas);;
Tipo de delito;(Todas);;
Subtipo de delito;(Todas);;
Modalidad;(Todas);;
Sexo;(Todas);;
Rango de edad;(Todas);;
;;;
Suma de Total;;;Etiquetas de columna
Coahuila de Zaragoza;5024;Parras;317
Coahuila de Zaragoza;5025;Piedras Negras;2239
Coahuila de Zaragoza;5026;Progreso;12
Coahuila de Zaragoza;5027;Ramos Arizpe;898
Coahuila de Zaragoza;5028;Sabinas;632
Coahuila de Zaragoza;5029;Sacramento;3
Coahuila de Zaragoza;5030;Saltillo;6299
Coahuila de Zaragoza;5031;San Buenaventura;79
Coahuila de Zaragoza;5032;San Juan de Sabinas;222
Coahuila de Zaragoza;5033;San Pedro;804
Coahuila de Zaragoza;5034;Sierra Mojada;3
Coahuila de Zaragoza;5035;Torreón;6721
Coahuila de Zaragoza;5036;Viesca;83
Coahuila de Zaragoza;5037;Villa Unión;20
Coahuila de Zaragoza;5038;Zaragoza;133
Coahuila de Zaragoza;5999;No especificado;0
Colima;6001;Armería;246
Colima;6002;Colima;2828
Colima;6003;Comala;209
Colima;6004;Coquimatlán;214
Colima;6005;Cuauhtémoc;170
Colima;6006;Ixtlahuacán;53
Colima;6007;Manzanillo;3361
Colima;6008;Minatitlán;90
Colima;6009;Tecomán;1077
Colima;6010;Villa de Álvarez;1668
Colima;6999;No especificado;0
Durango;10001;Canatlán;77
Durango;10002;Canelas;1
Durango;10003;Coneto de Comonfort;1
Durango;10004;Cuencamé;86
Durango;10005;Durango;3551
Durango;10006;General Simón Bolívar;7
Durango;10007;Gómez Palacio;961
Durango;10008;Guadalupe Victoria;175
Durango;10009;Guanaceví;5
Durango;10010;Hidalgo;4
Durango;10011;Indé;2
Durango;10012;Lerdo;313
Durango;10013;Mapimí;40
Durango;10014;Mezquital;43
Durango;10015;Nazas;14
Durango;10016;Nombre de Dios;63
Durango;10017;Ocampo;14
Durango;10018;El Oro;16
Durango;10019;Otáez;9
Durango;10020;Pánuco de Coronado;34
Durango;10021;Peñón Blanco;32
Durango;10022;Poanas;48
Durango;10023;Pueblo Nuevo;92
Durango;10024;Rodeo;39
Durango;10025;San Bernardo;8
Durango;10026;San Dimas;8
Durango;10027;San Juan de Guadalupe;1
Durango;10028;San Juan del Río;49
Durango;10029;San Luis del Cordero;17
Durango;10030;San Pedro del Gallo;0
Durango;10031;Santa Clara;4
Durango;10032;Santiago Papasquiaro;131
Durango;10033;Súchil;61
Durango;10034;Tamazula;8
Durango;10035;Tepehuanes;13
Durango;10036;Tlahualilo;24
Durango;10037;Topia;1
Durango;10038;Vicente Guerrero;94
Durango;10039;Nuevo Ideal;91
Durango;10999;No especificado;0
Guanajuato;11001;Abasolo;476
Guanajuato;11002;Acámbaro;848
Guanajuato;11003;San Miguel de Allende;2610
Guanajuato;11004;Apaseo el Alto;609
Guanajuato;11005;Apaseo el Grande;1440
Guanajuato;11006;Atarjea;31
Guanajuato;11007;Celaya;7435
Guanajuato;11008;Manuel Doblado;87
Guanajuato;11009;Comonfort;655
Guanajuato;11010;Coroneo;67
Guanajuato;11011;Cortazar;936
Guanajuato;11012;Cuerámaro;141
Guanajuato;11013;Doctor Mora;159
Guanajuato;11014;Dolores Hidalgo Cuna de la Independencia Nacional;1255
Guanajuato;11015;Guanajuato;3354
Guanajuato;11016;Huanímaro;76
Guanajuato;11017;Irapuato;8080
Guanajuato;11018;Jaral del Progreso;174
Guanajuato;11019;Jerécuaro;137
Guanajuato;11020;León;14266
Guanajuato;11021;Moroleón;331
Guanajuato;11022;Ocampo;242
Guanajuato;11023;Pénjamo;1139
Guanajuato;11024;Pueblo Nuevo;72
Guanajuato;11025;Purísima del Rincón;591
Guanajuato;11026;Romita;311
Guanajuato;11027;Salamanca;2977
Guanajuato;11028;Salvatierra;1103
Guanajuato;11029;San Diego de la Unión;167
Guanajuato;11030;San Felipe;775
Guanajuato;11031;San Francisco del Rincón;874
Guanajuato;11032;San José de Iturbide;774
Guanajuato;11033;San Luis de la Paz;935
Guanajuato;11034;Santa Catarina;49
Guanajuato;11035;Santa Cruz de Juventino Rosas;689
Guanajuato;11036;Santiago Maravatío;48
Guanajuato;11037;Silao de la Victoria;2761
Guanajuato;11038;Tarandacuao;137
Guanajuato;11039;Tarimoro;327
Guanajuato;11040;Tierra Blanca;100
Guanajuato;11041;Uriangato;478
Guanajuato;11042;Valle de Santiago;1134
Guanajuato;11043;Victoria;92
Guanajuato;11044;Villagrán;617
Guanajuato;11045;Xichú;37
Guanajuato;11046;Yuriria;453
Guanajuato;11999;No especificado;0
Guerrero;12001;Acapulco de Juárez;3548
Guerrero;12002;Ahuacuotzingo;11
Guerrero;12003;Ajuchitlán del Progreso;23
Guerrero;12004;Alcozauca de Guerrero;30
Guerrero;12005;Alpoyeca;15
Guerrero;12006;Apaxtla de Castrejón;6
Guerrero;12007;Arcelia;23
Guerrero;12008;Atenango del Río;20
Guerrero;12009;Atlamajalcingo del Monte;14
Guerrero;12010;Atlixtac;19
Guerrero;12011;Atoyac de Álvarez;120
Guerrero;12012;Ayutla de los Libres;88
Guerrero;12013;Azoyú;40
Guerrero;12014;Benito Juárez;25
Guerrero;12015;Buenavista de Cuéllar;18
Guerrero;12016;Coahuayutla de José María Izazaga;2
Guerrero;12017;Cocula;16
Guerrero;12018;Copala;34
Guerrero;12019;Copalillo;6
Guerrero;12020;Copanatoyac;27
Guerrero;12021;Coyuca de Benítez;146
Guerrero;12022;Coyuca de Catalán;32
Guerrero;12023;Cuajinicuilapa;51
Guerrero;12024;Cualác;14
Guerrero;12025;Cuautepec;17
Guerrero;12026;Cuetzala del Progreso;1
Guerrero;12027;Cutzamala de Pinzón;9
Guerrero;12028;Chilapa de Álvarez;48
Guerrero;12029;Chilpancingo de los Bravo;1580
Guerrero;12030;Florencio Villarreal;60
Guerrero;12031;General Canuto A. Neri;1
Guerrero;12032;General Heliodoro Castillo;0
Guerrero;12033;Huamuxtitlán;34
Guerrero;12034;Huitzuco de los Figueroa;82
Guerrero;12035;Iguala de la Independencia;670
Guerrero;12036;Igualapa;56
Guerrero;12037;Ixcateopan de Cuauhtémoc;4
Guerrero;12038;Zihuatanejo de Azueta;526
Guerrero;12039;Juan R. Escudero;75
Guerrero;12040;Leonardo Bravo;8
Guerrero;12041;Malinaltepec;28
Guerrero;12042;Mártir de Cuilapan;2
Guerrero;12043;Metlatónoc;38
Guerrero;12044;Mochitlán;4
Guerrero;12045;Olinalá;23
Guerrero;12046;Ometepec;381
Guerrero;12047;Pedro Ascencio Alquisiras;0
Guerrero;12048;Petatlán;68
Guerrero;12049;Pilcaya;8
Guerrero;12050;Pungarabato;74
Guerrero;12051;Quechultenango;12
Guerrero;12052;San Luis Acatlán;72
Guerrero;12053;San Marcos;92
Guerrero;12054;San Miguel Totolapan;4
Guerrero;12055;Taxco de Alarcón;404
Guerrero;12056;Tecoanapa;86
Guerrero;12057;Técpan de Galeana;143
Guerrero;12058;Teloloapan;111
Guerrero;12059;Tepecoacuilco de Trujano;58
Guerrero;12060;Tetipac;3
Guerrero;12061;Tixtla de Guerrero;95
Guerrero;12062;Tlacoachistlahuaca;45
Guerrero;12063;Tlacoapa;9
Guerrero;12064;Tlalchapa;5
Guerrero;12065;Tlalixtaquilla de Maldonado;2
Guerrero;12066;Tlapa de Comonfort;297
Guerrero;12067;Tlapehuala;10
Guerrero;12068;La Unión de Isidoro Montes de Oca;42
Guerrero;12069;Xalpatláhuac;8
Guerrero;12070;Xochihuehuetlán;12
Guerrero;12071;Xochistlahuaca;37
Guerrero;12072;Zapotitlán Tablas;27
Guerrero;12073;Zirándaro;2
Guerrero;12074;Zitlala;7
Guerrero;12075;Eduardo Neri;102
Guerrero;12076;Acatepec;6
Guerrero;12077;Marquelia;33
Guerrero;12078;Cochoapa el Grande;48
Guerrero;12079;José Joaquín de Herrera;4
Guerrero;12080;Juchitán;34
Guerrero;12081;Iliatenco;10
Guerrero;12082;Las Vigas;0
Guerrero;12083;Ñuu Savi;2
Guerrero;12084;Santa Cruz del Rincón;2
Guerrero;12085;San Nicolás;12
Guerrero;12999;No especificado;160
Hidalgo;13001;Acatlán;71
Hidalgo;13002;Acaxochitlán;139
Hidalgo;13003;Actopan;498
Hidalgo;13004;Agua Blanca de Iturbide;35
Hidalgo;13005;Ajacuba;60
Hidalgo;13006;Alfajayucan;67
Hidalgo;13007;Almoloya;78
Hidalgo;13008;Apan;379
Hidalgo;13009;El Arenal;78
Hidalgo;13010;Atitalaquia;243
Hidalgo;13011;Atlapexco;56
Hidalgo;13012;Atotonilco el Grande;238
Hidalgo;13013;Atotonilco de Tula;454
Hidalgo;13014;Calnali;36
Hidalgo;13015;Cardonal;44
Hidalgo;13016;Cuautepec de Hinojosa;235
Hidalgo;13017;Chapantongo;42
Hidalgo;13018;Chapulhuacán;35
Hidalgo;13019;Chilcuautla;63
Hidalgo;13020;Eloxochitlán;6
Hidalgo;13021;Emiliano Zapata;89
Hidalgo;13022;Epazoyucan;109
Hidalgo;13023;Francisco I. Madero;176
Hidalgo;13024;Huasca de Ocampo;111
Hidalgo;13025;Huautla;15
Hidalgo;13026;Huazalingo;24
Hidalgo;13027;Huehuetla;56
Hidalgo;13028;Huejutla de Reyes;414
Hidalgo;13029;Huichapan;207
Hidalgo;13030;Ixmiquilpan;695
Hidalgo;13031;Jacala de Ledezma;46
Hidalgo;13032;Jaltocán;15
Hidalgo;13033;Juárez Hidalgo;6
Hidalgo;13034;Lolotla;26
Hidalgo;13035;Metepec;71
Hidalgo;13036;San Agustín Metzquititlán;33
Hidalgo;13037;Metztitlán;105
Hidalgo;13038;Mineral del Chico;54
Hidalgo;13039;Mineral del Monte;111
