FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,GIRO_NEG,NOM_NEG,FARDERO,INGRESO,REPARTIDOR,OID,LONG,LAT
210392660,30420,ROBO TRANSPORTE PUBLICO,4,14/04/2021,15,3,1,COLONIA,EL RIEGO,767,CALLE,GRANADA,NA,NA,",,,",AVENIDA,DE LA ESPIGA,4,17,57,22,Verdadero,Falso,9,1 PERSONA,ND,0,0,N,N,36,0,0,Falso,1,1,TRANSPORTE PUBLICO,TAXI 1380,Falso,9,0,59,-102.24636754,21.89500000
210394133,30419,ROBO TRANSPORTE PUBLICO,4,15/04/2021,15,4,1,FRACCIONAMIENTO,LOS PERICOS,770,AVENIDA,RODOLFO LANDEROS GALLEGOS,NA,NA,",,,",AVENIDA,CULTURA OTOMI,3,0,3,25,Falso,Verdadero,1,2 HOMBRES,JOAQUIN ALEXIS SORIAN CRUZ,1,0,N,N,"3,38",0,0,Verdadero,1,4,TRANSPORTE PUBLICO,TAXI 3222,Falso,9,0,60,-102.24658207,21.90400000
210405435,30420,ROBO TRANSPORTE PUBLICO,4,17/04/2021,15,6,1,COLONIA,DEL CARMEN,911,CALLE,DEL CARMEN,NA,NA,",,,",CALLE,SANTO TOMAS,1,17,11,22,Verdadero,Falso,9,1 HOMBRE,ND,1,0,N,N,36,0,50,Falso,1,4,TRANSPORTE PUBLICO,TAXI 2005,Falso,9,0,61,-102.30356579,21.88900000
210415273,30420,ROBO TRANSPORTE PUBLICO,4,19/04/2021,16,1,1,FRACCIONAMIENTO,GOMEZ,907,CALLE,ESMERALDA,NA,NA,",,,",CALLE,GENERAL EMILIANO ZAPATA,6,0,0,22,Falso,Falso,9,1 HOMBRE,ND,0,0,N,N,28,500,500,Falso,1,1,TRANSPORTE PUBLICO,TAXI 1533,Falso,4,0,62,-102.31057068,21.88300000
210417291,30420,ROBO TRANSPORTE PUBLICO,4,20/04/2021,16,2,1,FRACCIONAMIENTO,VILLA MONTAÐA,501R,CALLE,MONTE DE SORA,NA,NA,"349,,,",PROLONGACION,CONSTITUCIONALISTA,3,1,28,25,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,36,0,101,Falso,1,2,TRANSPORTE PUBLICO,UBER,Falso,9,0,63,-102.26666310,21.93800000
210422236,30420,ROBO TRANSPORTE PUBLICO,4,21/04/2021,16,3,1,FRACCIONAMIENTO,PILAR BLANCO,981,AVENIDA,FAISAN,NA,NA,"511,,,",AVENIDA,SIGLO XXI,2,10,55,20,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,36,0,50,Falso,1,1,TRANSPORTE PUBLICO,TAXI 3450,Falso,9,0,64,-102.29730338,21.84600000
210430230,30420,ROBO TRANSPORTE PUBLICO,4,23/04/2021,16,5,1,COLONIA,PRIMO VERDAD,810,AVENIDA,GUADALUPE GONZALEZ,NA,NA,",,,",AVENIDA,AGUASCALIENTES PONIENTE,6,7,6,19,Verdadero,Falso,9,"1 HOMBRE, 1 MUJER",ND,0,0,N,N,36,0,72,Falso,1,1,TRANSPORTE PUBLICO,TAXI 960,Falso,9,0,65,-102.31771590,21.90900000
210438262,30419,ROBO TRANSPORTE PUBLICO,4,24/04/2021,16,6,5,COLONIA,LA LOMA,156,CALLE,UNIDAD,NA,NA,"214,,,",CALLE,PEDRO DE LUNA,7,0,0,24,Falso,Verdadero,3,2 HOMBRES,"""EL POLLO"" ""EL JAMON""",0,0,N,N,3,0,0,Falso,1,1,TRANSPORTE PUBLICO,DIDI,Falso,9,0,66,-102.34632316,21.94900000
210438888,30419,ROBO TRANSPORTE PUBLICO,4,25/04/2021,16,7,5,FRACCIONAMIENTO,RUISEÐORES,338P,CALLE,GAVIOTA,NA,NA,"124,,,",CALLE,FAISAN,7,1,32,25,Verdadero,Verdadero,3,1 HOMBRE,"""EL PACHA""",0,0,N,N,"3,6,11,28",150,5000,Falso,1,1,TRANSPORTE PUBLICO,TAXI 2274,Falso,9,0,67,-102.33129178,21.96800000
210430375,30420,ROBO TRANSPORTE PUBLICO,4,23/04/2021,16,5,1,COLONIA,COL SAN MARCOS,650,CALLE,PARIS,NA,NA,",,,",CALLE,CAMPECHE,6,8,25,19,Verdadero,Falso,9,2 PERSONAS,ND,2,0,N,N,36,0,0,Falso,1,4,TRANSPORTE PUBLICO,TAXI 903,Falso,9,0,68,-102.31536449,21.87700000
210461166,30420,ROBO TRANSPORTE PUBLICO,4,29/04/2021,17,4,1,FRACCIONAMIENTO,VILLA MONTAÐA,501R,AVENIDA,FEDERICO MENDEZ,NA,NA,"1215,,,",CALLE,MONTE OKU,3,21,44,24,Verdadero,Falso,9,2 HOMBRES,ND,0,0,N,N,36,0,64,Falso,1,1,TRANSPORTE PUBLICO,TAXI 2230,Falso,4,0,69,-102.26258114,21.94100000
210471076,30420,ROBO TRANSPORTE PUBLICO,5,02/05/2021,17,7,1,FRACCIONAMIENTO,VILLAS DE LA UNIVERSIDAD,807,AVENIDA,UNIVERSIDAD,NA,NA,",,,",CALLE,ABEDUL,6,0,24,25,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,36,0,200,Falso,1,1,TRANSPORTE PUBLICO,TAXI 1065,Falso,9,0,70,-102.30609120,21.90000000
210472211,30420,ROBO TRANSPORTE PUBLICO,5,02/05/2021,17,7,1,FRACCIONAMIENTO,VALLE DE LOS CACTUS,725,ANDADOR,RECINTO JOCONOSTLE 601,NA,NA,",,,",AVENIDA,SOTOL,4,4,22,26,Falso,Falso,9,1 HOMBRE,ND,0,0,N,N,36,0,0,Falso,1,1,TRANSPORTE PUBLICO,UBER,Falso,9,0,71,-102.22917012,21.86400000
