FOLIO,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,DESTAC_SEG,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,ARMA_1,ARMA_2,VIOLENCIA,CUENT_HAB,DINERO,CANTIDAD,BANCO,UBIC_BANC,BOLSO,CARTERA,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,MOCHILA,LLAVES,OTROS,TRANS_S_N,UBIC_TRANS,LESIONADO,TRASL_HOSP,FIL_SOSP,ALIAS_SOSP,VEH_SOSP,TIPO_VEH,MONTO,PROCESO,DETENIDO,CIERRE_PRE,OBJ_RECUP,PR_FERIA,OID,INCIDENTE,LONG,LAT
175145,JUNIO,2018-06-18,LUNES,1,9,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,OJOCALIENTE III,525,TERAN SUR,AVENIDA,POLIDUCTO,NA,0,N,0,N,SAN GABRIEL,EL SALITRE,BETULIA,NA,NA,NO,N,0,0,N,NA,0,1,0,1,0,0,0,0,0,0,SI,PARQUE LINEAL,NO,NA,2 SUJETOS,N,N,N,600,NO,0,,,NO,1006,Robo a persona,-102.24279341,21.87483289
176413,JUNIO,2018-06-19,MARTES,16,54,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BENITO JUAREZ,466,TERAN SUR,AVENIDA,NAZARIO ORTIZ GARZA,NA,0,N,0,N,PARQUE VIA,VALLE D ELOS REYES,N,CORTANTE,NA,SI,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,FUERA ESCUELA,NO,NA,1 SUJETO VISTE GORRA ROJA SHORT Y PLAYERA NEGRA,N,BICICLETA ROJA,BICICLETA,15000,NO,0,,,NO,1007,Robo a persona,-102.27349925,21.89978852
177296,JUNIO,2018-06-20,MIERCOLES,15,41,AGUASCALIENTES,URBANA,COLONIA,SAN LUIS (II),743,CENTRO,CALLE,EZEQUIEL A CHAVEZ,NA,0,N,0,N,HEROE DE NACOZARI NORTE,DAMASCO,NUEVA DE LA PAZ,NA,NA,NO,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,1 SUJETO VISTE PLAYERA AZUL CASCO ROJO,N,MOTOCICLETA,MOTOCICLETA,3500,NO,0,,,NO,1008,Robo a persona,-102.28140558,21.88094375
177336,JUNIO,2018-06-20,MIERCOLES,16,40,JESUS MARIA,URBANA,COLONIA,CHICAHUALES I,155,JM,CALLE,JOSE ACEVES,NA,0,N,0,N,SANTIAGO APOSTOL,FELICIANO MARTINEZ CRUZ,ROGELIO DELGADO,NA,NA,NO,N,0,0,N,NA,0,1,0,1,0,0,0,0,0,1,SI,VIA PUBLICA,NO,NA,1 SUJETO,EL OSCAR,N,N,2000,NO,0,,,NO,1009,Robo a persona,-102.34999742,21.94808730
177344,JUNIO,2018-06-20,MIERCOLES,16,42,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LA ESTRELLA,483,TERAN NORTE,AVENIDA,CONVENCION DE 1914 ORIENTE,NA,0,N,0,N,GREGORIO MARTINEZ SOTO,GABRIELA MISTRAL,ARIES,FUEGO,NA,SI,N,1,200,N,NA,1,1,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,1 SUJETO VISTE PLAYERA NEGRA PANTALON MEZCLILLA Y GORRA,N,N,N,6000,NO,0,,,NO,1010,Robo a persona,-102.28006771,21.89877117
177385,JUNIO,2018-06-20,MIERCOLES,17,28,AGUASCALIENTES,URBANA,BARRIO,EL ENCINO,1096,CENTRO,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,NA,0,N,0,N,ALEGRIA,FORTUNA,ALEGRIA,NA,NA,NO,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,1 SUJETO VISTE P´LAYERA BLANCA Y PANTALON MEZCLILLA,N,BICICLETA,BICICLETA,0,NO,0,,,NO,1011,Robo a persona,-102.28904647,21.87385995
177391,JUNIO,2018-06-20,MIERCOLES,17,51,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLERIAS,491,TERAN SUR,CALLE,VILLAS DE SAN FRANCISCO,NA,331,N,0,N,VILLA DE COSIO,HACIENDA LAS AMARILLAS,PASEO DE VILLERIAS,NA,NA,NO,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,2 SUJETOS UNO VISTE CAMISA BLANCA OTRO CAMISA NEGRA,N,MOTOCICLETA PLACAS XAM61,MOTOCICLETA,2000,NO,0,,,NO,1012,Robo a persona,-102.24547494,21.88522656
177604,JUNIO,2018-06-20,MIERCOLES,21,39,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,CARTAGENA,322-P,TERAN NORTE,CALLE,MEMO LARA,NA,227,N,0,N,VIÑEDOS RIVIER,VIÑEDOS SAN MARCOS,SALVADOR MARTINEZ,FISICA,NA,SI,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,1 SUJETO VISTE DE NEGRO Y ENCAPUCHADO,N,N,N,2500,NO,0,,,NO,1013,Robo a persona,-102.27569904,21.95709506
177646,JUNIO,2018-06-20,MIERCOLES,22,26,AGUASCALIENTES,URBANA,COLONIA,DEL TRABAJO (DELEGACION CENTRO),521,TERAN SUR,CALLE,1810,NA,308,N,0,N,BEETHOVEN,COBREROS,SIGLO XIX,FUEGO,NA,SI,N,1,350,N,NA,0,1,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,2 SUJETOS,N,MOTOCICLETA NEGRA,MOTOCICLETA,2000,NO,1,,,NO,1014,Robo a persona,-102.27369331,21.88758998
177684,JUNIO,2018-06-20,MIERCOLES,23,3,AGUASCALIENTES,URBANA,COLONIA,MACIAS ARELLANO,505,TERAN NORTE,CALLE,C,NA,0,N,0,N,G,B,A,PUNZANTE,NA,SI,N,0,0,N,NA,0,0,0,1,1,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,LOS MONKIKIS,LOS MONKIKIS,MOTOCICLETAS,MOTOCICLETA,7000,NO,0,,,NO,1015,Robo a persona,-102.28368749,21.90733793
177861,JUNIO,2018-06-21,JUEVES,7,5,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS II,494,TERAN NORTE,CALLE,LOMA DEL CARDENAL,NA,0,N,0,N,LOMA DEL CARDENAL,LOMA DEL CARDENAL,CULTURA NAZCA,CORTANTE,NA,SI,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,1 SUJETO TRAE UNA EXPANSION EN EL OIDO,N,N,N,0,NO,0,,,NO,1016,Robo a persona,-102.24352460,21.91191268
177959,JUNIO,2018-06-21,JUEVES,9,59,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,NATURA,699,TERAN NORTE,CALLE,FEDERICO MENDEZ,NA,0,N,0,N,PERICO,PERICO,PERICO,CORTANTE,NA,SI,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,1 SUJETO VISTE CAMISA BLANCA PANTALON ROTO CACHUCH GRIS,NA,N,N,2000,NA,0,,,NO,1017,Robo a persona,-102.25089316,21.93131930
178247,JUNIO,2018-06-21,JUEVES,17,34,AGUASCALIENTES,URBANA,COLONIA,ZONA CENTRO,906,CENTRO,CALLE,VENUSTIANO CARRANZA,NA,0,N,0,N,JOSE F ELIZONDO,MARIANO MATAMOROS,GENERAL IGNACIO ALLENDE,NA,NA,NO,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,1 PAREJA,N,MOTOCICLETA COLOR BLANCA,MOTOCICLETA,0,NO,0,,,NO,1018,Robo a persona,-102.30105906,21.88009521
178438,JUNIO,2018-06-21,JUEVES,21,37,AGUASCALIENTES,URBANA,COLONIA,FATIMA,1119,POCITOS,PROLONGACION,IGNACIO ZARAGOZA,NA,0,N,0,N,SAN MIGUEL EL ALTO,VALLE DE GUADALUPE,TEPATITLAN,FUEGO,NA,SI,N,1,0,N,NA,1,0,0,1,0,1,0,0,0,0,SI,VIA PUBLICA,NO,NA,4 SUJETOS,N,MOTOCICLETA2,MOTOCICLETA,4000,NO,0,,,NO,1019,Robo a persona,-102.30252732,21.91056318
