FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,INGRESO,DESHABITAD,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,MOT_DET,LESIONADO,T_VEH_SOS,DESCRIP,REROBADO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,LON,OID,LONG,LAT
210152833,30414,ROBO A CASA,2,2021-02-15,7,1,1,COLONIA,COL SAN MARCOS,736,CALLE,DOCTOR PEDRO DE ALBA,NA,NA,"130,,,",CALLE,NICOLAS RAMIREZ,6,23,40,24,4,NO,false,false,9,2 HOMBRES,ND,0,NO,0,N,N,NO,39,0,0,false,1,9,-102.30860000,504,-102.30868684,21.87720095
210153805,30414,ROBO A CASA,2,2021-02-16,7,2,1,COLONIA,VICENTE GUERRERO,1108,CALLE,GENERAL JULIAN MEDINA,NA,NA,"241,A,,",PRIVADA,PRIMERA REVOLUCION,2,0,0,5,4,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,10,0,0,false,1,17,-102.31380000,505,-102.31380673,21.84764668
210154471,30414,ROBO A CASA,2,2021-02-15,7,1,1,FRACCIONAMIENTO,ALBERIA,731,CALLE,CIPRESO,NA,NA,",,,",CALLE,SD,6,0,0,4,9,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"8,46",0,8000,false,1,6,-102.32610000,506,-102.32615606,21.87323368
210154628,30414,ROBO A CASA,2,2021-02-16,7,2,1,COLONIA,NORIAS DE PASO HONDO,352,CALLE,CHABACANO,NA,NA,",,,",CALLE,NARANJO,4,15,25,21,9,NO,false,false,9,2 HOMBRES,ND,0,NO,0,N,N,NO,"9,10",0,0,false,1,2,-102.20490000,507,-102.20499001,21.85994433
210155824,30414,ROBO A CASA,2,2021-02-16,7,2,1,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,CALLE,NACIONALISMO,NA,NA,",,,",CALLE,MIGUEL ANGEL BARBERENA VEGA,4,0,0,24,4,NO,false,false,9,1 HOMBRE,ND,0,NO,0,N,N,NO,10,0,0,false,1,2,-102.26740000,508,-102.26741758,21.89523923
210156822,30414,ROBO A CASA,2,2021-02-17,7,3,1,FRACCIONAMIENTO,INF MORELOS,616,ANDADOR,CUARTO PALENQUE,NA,NA,"106,C,,",CALLE,PALENQUE,5,0,0,2,1,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,14,0,1500,false,1,2,-102.25570000,509,-102.25578201,21.86432958
210159566,30414,ROBO A CASA,2,2021-02-18,7,4,1,FRACCIONAMIENTO,LA CASITA,1112,CALLE,CASA CHICA,NA,NA,"313,,,",CALLE,DEL FAISAN,2,0,0,26,4,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,14,0,0,false,1,1,-102.29780000,510,-102.29782010,21.83749189
210160537,30414,ROBO A CASA,2,2021-02-18,7,4,1,FRACCIONAMIENTO,POZO BRAVO,421,CALLE,PAULINO N MARTI,NA,NA,",,,",RETORNO,CUMBRE DE ACUTZINGO,3,13,4,21,9,NO,true,false,9,1 HOMBRE,ND,0,NO,0,N,N,NO,39,0,0,false,1,2,-102.27840000,511,-102.27844733,21.92840472
210166415,30414,ROBO A CASA,2,2021-02-20,7,6,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,RICARDO GARCIA MENDOZA,NA,NA,",,,",CALLE,CORONEL JOSE MARIA MARTINEZ VALADEZ,2,0,0,25,9,NO,false,false,9,2 HOMBRES,ND,0,NO,0,N,N,NO,12,0,0,false,1,2,-102.32480000,512,-102.32482552,21.85600619
210168090,30414,ROBO A CASA,2,2021-02-20,7,6,1,FRACCIONAMIENTO,OJOCALIENTE II,740,AVENIDA,OJOCALIENTE,NA,E5B,"1306,,203,",CALLE,LOS CONOS,4,15,17,21,9,NO,true,false,9,2 HOMBRES,ND,0,NO,0,N,N,NO,39,0,0,false,1,1,-102.25000000,513,-102.25009579,21.87736390
210168996,30414,ROBO A CASA,2,2021-02-20,7,6,1,FRACCIONAMIENTO,VNSA SECTOR ALAMEDA,516,CALLE,RODOLFO RODARTE,NA,NA,"115,,,",CALLE,RODRIGO RINCON GALLARDO,3,0,0,1,4,SOLA,false,false,9,ND,ND,0,NO,0,N,N,NO,10,0,0,false,1,1,-102.26420000,514,-102.26428197,21.93431972
210079977,30414,ROBO A CASA,1,2021-01-26,4,2,1,FRACCIONAMIENTO,VILLA MONTAÑA,510R,CALLE,PICO DE VALDEMADERA,NA,NA,"507,A,,",CALLE,PEÑA DE FRANCIA,3,0,0,27,3,NO,false,false,9,ND,ND,0,NO,0,N,N,SI1,10,0,0,false,1,17,-102.26730000,515,-102.26731518,21.94065093
210164463,30414,ROBO A CASA,2,2021-02-19,7,5,1,FRACCIONAMIENTO,VNSA SECTOR GUADALUPE,402,CALLE,TEOFILO ROMO LOPEZ,NA,NA,"207,D,,",CALLE,JESUS GOMEZ LUNA,3,15,32,22,4,NO,true,false,9,ND,ND,0,NO,0,N,N,NO,10,0,0,false,1,2,-102.25460000,516,-102.25465203,21.93070722
210165658,30414,ROBO A CASA,2,2021-02-19,7,5,1,COMUNIDAD,LOTES DE ARELLANO,56P,CALLE,ARCILLA,NA,NA,",,,",CALLE,LADRILLERAS,5,0,0,1,4,DESHABITADA,false,false,9,ND,ND,0,NO,0,N,N,NO,10,0,0,false,1,16,-102.26660000,517,-102.26663848,21.79794859
210174777,30414,ROBO A CASA,2,2021-02-22,8,1,1,FRACCIONAMIENTO,SANTA ANITA,523,AVENIDA,CONVENCION DE 1914 ORIENTE,NA,NA,"610,,,",CALLE,GUISEPPE VERDI,4,0,0,26,9,NO,false,false,9,2 HOMBRES,ND,0,NO,0,N,N,NO,39,0,0,false,1,2,-102.27790000,518,-102.27798653,21.89509549
210174812,30414,ROBO A CASA,2,2021-02-22,8,1,1,FRACCIONAMIENTO,SANTA ANITA 4A SECCION,465,CALLE,VALLE DE LA PASCUA,NA,NA,"113,,,",CALLE,VALLE HONDO PONIENTE,4,4,0,26,4,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,21,0,0,true,1,13,-102.27390000,519,-102.27399471,21.90208237
210175465,30414,ROBO A CASA,2,2021-02-22,8,8,1,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS II,494,CALLE,LOMA DEL CARDENAL 109,NA,NA,"33,,,",CALLE,LOMA DEL CARDENAL,3,0,0,27,1,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,7,0,0,false,1,7,-102.24380000,520,-102.24383838,21.91148794
210175572,30414,ROBO A CASA,2,2021-02-22,8,1,1,COLONIA,ALTAVISTA,922,CALLE,ALAMAN,NA,NA,"519,,,",CALLE,PROFESOR JOSE REYES MARTINEZ,6,5,0,26,4,DESHABITADA,false,false,9,ND,ND,0,NO,0,N,N,NO,9,0,500,false,1,1,-102.30430000,521,-102.30432241,21.89031162
210175592,30414,ROBO A CASA,2,2021-02-22,8,1,1,FRACCIONAMIENTO,PILAR BLANCO,981,ANDADOR,GARZA,NA,5MB,",,7,",CALLE,CANARIO,2,0,0,21,4,NO,false,false,9,ND,ND,0,NO,0,N,N,SI1,16,0,0,false,1,2,-102.29920000,522,-102.29922606,21.85284243
210176132,30414,ROBO A CASA,2,2021-02-22,8,1,1,FRACCIONAMIENTO,REENCUENTRO,408,AVENIDA,LUISA FERNANDEZ VILLA,NA,NA,"155,,5,",AVENIDA,LUISA FERNANDEZ VILLA,5,15,7,21,9,NO,true,false,9,3 HOMBRES,ND,0,NO,0,N,N,NO,1,0,0,true,1,10,-102.24770000,523,-102.24776927,21.84294219
210176221,30414,ROBO A CASA,2,2021-02-21,7,7,1,FRACCIONAMIENTO,LA ESTRELLA,483,CALLE,GEMINIS,NA,NA,"101,,,",AVENIDA,GABRIELA MISTRAL,3,0,0,14,9,NO,false,false,9,VECINO,VECINO,0,NO,0,N,N,NO,18,0,0,true,1,10,-102.27840000,524,-102.27849410,21.89937705
210176893,30414,ROBO A CASA,2,2021-02-22,8,1,3,SIN TIPO,ZONA CENTRO,275,CALLE,ARTICULO 115 DE LA CONSTITUCION,NA,NA,"112,,,",CALLE,FRANCISCO JAVIER MINA,7,0,0,1,1,SOLA,false,false,9,ND,ND,0,NO,0,N,N,NO,"1,11,28",0,0,false,1,1,-102.72030000,525,-102.72034890,21.84419232
210177654,30414,ROBO A CASA,2,2021-02-22,8,1,1,FRACCIONAMIENTO,LOS PERICOS,770,CALLE,SANTA RITA,NA,NA,"110,,,",AVENIDA,SANTA CECILIA,3,0,0,1,4,CONSTRUCCION,false,false,9,ND,ND,0,NO,0,N,N,NO,"10,11,19,45",0,6000,false,1,1,-102.24940000,526,-102.24949781,21.90848002
