FOLIO,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,CUENT_HAB,DINERO,CANTIDAD,BANCO,BOLSO,CARTERA,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,OTROS,OID,FE_16,VEH_SOSP,INCIDENTE,LONG,LAT
159899,JULIO,2016-07-13,MIERCOLES,14,24,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DEL OESTE,1011,CALLE,ANDRES SOLER,NULO,113,NULO,0,NULO,PASEO DE LA ASUNCION,CARLOS LOPEZ MOCTEZUMA,PEDRO ARMENDARIZ,NULO,NULO,0,NULO,BOLSO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,408,,,Robo a persona,-102.30214119,21.84259398
162502,JULIO,2016-07-16,SABADO,20,47,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,HACIENDAS DE AGUASCALIENTES,410,AVENIDA,SIGLO XXI,NULO,0,NULO,0,NULO,HACIENDA MESILLAS,HACIENDA EL TORIL,HACIENDA LA ESCONDIDA,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,409,,,Robo a persona,-102.25223667,21.88977206
163819,JULIO,2016-07-17,DOMINGO,22,55,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,SAN JOSE DEL BARRANCO,7,CALLE,SALUD,NULO,0,NULO,0,NULO,EMPLEO,N/A,ECOLOGIA,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,410,,,Robo a persona,-102.26250285,22.06932797
162501,JULIO,2016-07-16,SABADO,20,45,AGUASCALIENTES,URBANA,COLONIA,MARTINEZ DOMINGUEZ,1099,AVENIDA,MAHATMA GANDHI,NULO,0,NULO,0,NULO,CAPITAN DIEGO FERNANDEZ VILLA,VALENTE QUINTANILLA,VICTOR ROSALES,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,411,,,Robo a persona,-102.29492665,21.85576237
164677,JULIO,2016-07-18,LUNES,22,23,JESUS MARIA,URBANA,FRACCIONAMIENTO,PASEOS DE LAS HACIENDAS,213-P,CALLE,PASEOS DE LA ACEITUNA,NULO,443,NULO,0,NULO,PASEOS DEL SAUCE,PROLONGACION NIAGARA,PASEOS DE LA CEIBA,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,412,,,Robo a persona,-102.34427032,21.99370038
15398,JULIO,2016-07-19,MARTES,20,57,PABELLON DE ARTEAGA,URBANA,FRACCIONAMIENTO,SANTA ISABEL,230-P,CALLE,REAL DE CANANEA,NULO,443,NULO,0,NULO,REAL DE ZACATECAS,REAL DEL SALTO,REAL DE ASIENTOS,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,BOCINA,413,,,Robo a persona,-102.26933405,22.08151064
165384,JULIO,2016-07-19,MARTES,20,45,AGUASCALIENTES,URBANA,COLONIA,MARTINEZ DOMINGUEZ,1099,CALLE,VALENTE QUINTANA,NULO,0,NULO,0,NULO,JOSE MARIA GONZALEZ HERMOSILLO,VICTOR ROSALES,JOSE MARIA GONZALEZ HERMOSILLO,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,414,,,Robo a persona,-102.29704608,21.85244411
165267,JULIO,2016-07-19,MARTES,18,36,AGUASCALIENTES,URBANA,COLONIA,EL RIEGO,741,AVENIDA,SIGLO XXI,NULO,0,NULO,0,NULO,TANQUE DE LOS JIMENEZ,HACIENDA EL MILAGRO,LAS CUMBRES,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,415,,,Robo a persona,-102.25251040,21.88941000
165949,JULIO,2016-07-20,MIERCOLES,16,29,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,ESPAÑA,1052,AVENIDA,DE LOS MAESTROS,NULO,0,NULO,0,NULO,TOLEDO,AGUASCALIENTES,ESPAÑA,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,416,,,Robo a persona,-102.31443241,21.85930111
166224,JULIO,2016-07-20,MIERCOLES,22,12,PABELLON DE ARTEAGA,URBANA,COLONIA,ZONA CENTRO,94,AVENIDA,PINO SUAREZ,NULO,0,NULO,0,NULO,SEBASTIAN LERDO DE TEJADA,HEROCIO COLEGIO MILITAR,AQUILES SERDAN,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,417,,,Robo a persona,-102.27814017,22.14808352
