FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,PROCESO,VIOLENCIA,ARMA_US,PER_SOSP,ALIAS,SEX_AGRE,SEX_AFEC,CAT_SOS,DETENIDO,DET_SPM,MOT_DET,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,DEN_CASIO,OID,LONG,LAT
260179586,0,30403,AUTOPARTES,1,2026-01-30,5,5,11,FRACCIONAMIENTO,PANAMERICANO,1309,AVENIDA,CRISTOBAL COLON,NA,NA,",,,",CALLE,GUATEMALA,7,0,17,25,00:00-02:59,true,false,9,1 HOMBRE,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,39,0.00000,0.000000,false,4,5,AUTOMOVIL,ND,ND,1,13,0,80,-102.27099460,22.07471062
260187179,0,30411,AUTOPARTES,1,2026-01-31,5,6,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÐORA DE LA ASUNCION, SECTOR GUADALUPE",342,CALLE,MARIA DE JESUS GONZALEZ,NA,NA,",,,",CALLE,FRANCISCO TISCAREÐO,3,0,0,7,00:00-11:59,false,false,9,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,"22,24",0.00000,0.000000,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,1,0,81,-102.25572295,21.93335834
260185834,0,30403,AUTOPARTES,1,2026-01-31,5,6,1,FRACCIONAMIENTO,VILLA DE LAS TROJES,141,PROLONGACION,GENERAL IGNACIO ZARAGOZA,NA,NA,",,,",CALLE,POTREROS,6,0,0,0,,false,false,9,1 HOMBRE,ND,ND,M,8,0,ND,ND,0,0,false,0,1 AUTOMOVIL,MARCH DE COLOR ROJO,"2,6",0.00000,50000.000000,false,4,1,CAMIONETA,NISSAN,ND,1,1,0,82,-102.30475975,21.92630273
260186512,0,30411,AUTOPARTES,1,2026-01-31,5,6,1,FRACCIONAMIENTO,JARDINES DE LA CONCEPCION I,128,CALLE,LUIS DONALDO COLOSIO,NA,NA,",,,",CALLE,SAN JULIAN,6,3,2,21,12:00-15:29,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,"31,12,15",0.00000,15000.000000,false,1,1,AUTOMOVIL,CHEVROLET,BEAT,1,13,0,83,-102.30720458,21.92442595
260199758,0,30411,AUTOPARTES,2,2026-02-01,5,7,1,FRACCIONAMIENTO,NAZARIO ORTIZ GARZA,222,AVENIDA,SIGLO XXI,NA,NA,",,,",BOULEVARD,GUADALUPANO,4,0,0,24,21:30-23:59,false,false,9,1 HOMBRE,ND,H,H,8,1,ND,ND,0,0,false,0,N,N,"3,6",0.00000,0.000000,false,2,1,AUTOMOVIL,CADILLAC,ND,1,4,0,84,-102.25707896,21.90628381
260194298,0,30403,AUTOPARTES,2,2026-02-01,5,7,1,FRACCIONAMIENTO,PINTORES MEXICANOS,671,CALLE,FRANCISCO GOITIA,NA,NA,",,,",CALLE,VICENTE ROJO,5,0,0,27,sin datos,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,41,0.00000,0.000000,false,4,4,AUTOMOVIL,DODGE,ATTITUDE,1,1,0,85,-102.26455554,21.91913524
260196321,0,30403,AUTOPARTES,2,2026-02-01,5,7,1,COLONIA,FATIMA,503,CALLE,VALLE DE GUADALUPE,NA,NA,"104,,,",CALLE,SAN MIGUEL EL ALTO,6,0,0,1,dias solo,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,41,0.00000,0.000000,false,4,4,AUTOMOVIL,FORD,MUSTANG,1,1,0,86,-102.30520400,21.91002500
260192658,0,30403,AUTOPARTES,2,2026-02-01,5,7,1,FRACCIONAMIENTO,HACIENDAS DE AGUASCALIENTES,530,CALLE,HACIENDA SAN ANTONIO DE LOS PEDROZA,NA,NA,"127,,,",CALLE,HACIENDA LA CONGOJA,4,0,0,27,sin datos,false,false,9,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,"12,27",0.00000,0.000000,false,1,1,AUTOMOVIL,ND,ND,1,1,0,87,-102.24515769,21.89004639
260200558,0,30411,AUTOPARTES,2,2026-02-02,6,1,5,NINGUNO,LA CAÐADA,1062,CALLE,MIGUEL BARBERENA VEGA,NA,NA,"202,,,",CALLE,INEGI,7,1,58,25,00:00-02:59,false,false,9,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,24,0.00000,0.000000,false,1,2,CAMIONETA,EXPLORER,ND,1,13,0,88,-102.35391919,21.95542513
260183890,0,50305,AUTOPARTES,1,2026-01-30,5,5,1,FRACCIONAMIENTO,EL DORADO 2A SECCION,160,CALLE,REPUBLICA DE VENEZUELA,NA,NA,",,,",CALLE,REPUBLICA DEL SALVADOR,2,19,28,19,06:00-08:59,true,false,9,1 HOMBRE,ND,H,H,8,0,ND,ND,0,0,false,0,N,N,24,0.00000,0.000000,false,1,2,AUTOMOVIL,CHEVROLET,CAVALIER,1,13,0,89,-102.30627634,21.86385275
260185571,0,30421,AUTOPARTES,1,2026-01-30,5,5,1,COLONIA,GREMIAL,613,CALLE,ISIDRO CALERA,NA,NA,",,,",CALLE,TOMAS MEDINA UGARTE,6,23,30,24,21:30-23:59,true,true,1,1 HOMBRE,ND,H,M,8,0,ND,ND,0,0,false,0,N,N,26,0.00000,0.000000,false,4,1,AUTOMOVIL,ND,ND,1,1,0,90,-102.29061650,21.89800787
260189851,0,30904,AUTOPARTES,1,2026-01-31,5,6,1,FRACCIONAMIENTO,PINTORES MEXICANOS,671,CALLE,JUAN SORIANO,NA,NA,"118,,,",AVENIDA,SIGLO XXI,5,0,0,1,dias solo,false,false,9,1 HOMBRE,VECINO,ND,M,6,1,ND,ND,0,0,false,0,N,N,24,0.00000,0.000000,false,1,2,AUTOMOVIL,ND,ND,1,4,0,91,-102.26280854,21.92221538
260200591,0,50102,AUTOPARTES,2,2026-02-02,6,1,1,ZONA,ZONA CENTRO,501,AVENIDA,ADOLFO LOPEZ MATEOS,NA,NA,",,,",CALLE,JOSEFA ORTIZ DE DOMINGUEZ,1,2,5,25,00:00-02:59,true,false,9,2 HOMBRES,ND,H,H,8,1,ND,ND,0,0,false,0,N,N,39,0.00000,0.000000,false,4,5,AUTOMOVIL,HONDA,ND,1,4,0,92,-102.28879866,21.87950494
260201397,0,30446,AUTOPARTES,2,2026-02-02,6,1,1,COLONIA,SAN PABLO,242,CALLE,PETROLEOS MEXICANOS,NA,NA,"231,,,",CALLE,LIBERTAD,6,9,2,20,09:00-11:59,false,false,9,1 HOMBRE,ND,H,H,8,0,ND,ND,0,0,false,0,N,N,"31,27,12",0.00000,0.000000,false,3,1,AUTOMOVIL,ND,ND,1,1,0,93,-102.29849393,21.89032526
260206191,0,30403,AUTOPARTES,2,2026-02-03,6,2,1,BARRIO,IGLESIA,60,CALLE,CELAYA,NA,NA,"198,,,",CALLE,IRAPUATO,5,0,0,27,sin datos,false,false,9,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,23,0.00000,35000.000000,false,1,2,AUTOMOVIL,VOLKSWAGEN,DERBY,1,1,0,94,-102.18706736,21.82596603
260212694,0,30403,AUTOPARTES,2,2026-02-04,6,3,1,FRACCIONAMIENTO,PASEOS DE SAN ANTONIO,634,CALLE,PALERMO,NA,NA,",,,",CALLE,MONTE VESUBIO,5,2,30,25,00:00-02:59,false,false,9,1 HOMBRE,"SUDADERA DE COLOR AZUL, MASCARA DE GUASON",ND,H,8,0,ND,ND,0,0,false,0,N,N,41,0.00000,0.000000,false,4,5,AUTOMOVIL,FORD,FIESTA,1,1,0,95,-102.27580777,21.81413317
260216538,0,30403,AUTOPARTES,2,2026-02-04,6,3,1,FRACCIONAMIENTO,LOMAS DEL CAMPESTRE II,131,CALLE,POTRERO,NA,NA,",,,",CALLE,MONTE CARLO,6,18,0,22,15:30-18:59,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,"26,11",0.00000,12000.000000,false,4,1,CAMIONETA,NISSAN,FRONTIER,1,1,0,96,-102.31613921,21.92529864
260212504,0,50102,AUTOPARTES,2,2026-02-04,6,3,1,FRACCIONAMIENTO,VILLA LOMA DORADA,75,CALLE,VILLA CLARA,NA,NA,"204,,,",CALLE,ELIAS DE LARA,3,5,3,26,03:00-02:56,false,false,9,3 HOMBRES,ND,H,H,8,0,ND,ND,0,0,false,0,BICICLETA,N,24,0.00000,0.000000,true,1,2,CAMION,ND,ND,1,6,0,97,-102.25087526,21.92740393
260218582,0,30403,AUTOPARTES,2,2026-02-05,6,4,3,COLONIA,LOS ANGELES,808,CALLE,20 DE NOVIEMBRE,NA,NA,",,,",CALLE,ABASOLO,7,0,0,5,00:00-05:59,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,22,0.00000,0.000000,false,4,1,AUTOMOVIL,NISSAN,SENTRA,1,1,0,98,-102.72148550,21.84350534
260218801,0,30403,AUTOPARTES,2,2026-02-05,6,4,3,RANCHER-A,COLOMOS,847,CALLE,NARANJO,NA,NA,",,,",CALLE,GRANADO,7,0,0,27,sin datos,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,11,0.00000,2000.000000,false,1,2,CAMIONETA,FORD,ND,1,1,0,99,-102.66014336,21.88150115
260218925,0,30403,AUTOPARTES,2,2026-02-05,6,4,5,FRACCIONAMIENTO,SATURNINO HERRAN,959,CALLE,EL GALLERON,NA,NA,"710,,,",CALLE,EL GALLERO,7,0,0,27,sin datos,false,false,9,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,41,0.00000,0.000000,false,4,4,AUTOMOVIL,FORD,ESCAPE,1,1,0,100,-102.29215758,22.00147698
260221427,0,30446,AUTOPARTES,2,2026-02-05,6,4,1,FRACCIONAMIENTO,MUNICIPIO LIBRE,223,CALLE,ESFUERZO NACIONAL,NA,NA,",,,",AVENIDA,SIGLO XXI,4,17,29,22,15:30-18:59,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,14,0.00000,0.000000,false,2,1,CAMIONETA,ND,ND,1,1,0,101,-102.25393750,21.89357637
