FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASENT,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,FALLECIDOS,PER_SOSP,ALIAS,CAT_SOSP,DET_SPM,MOT_DET,DETENIDO,LESIONADO,TRASL_HOSP,GEN_AFE,CARR_S_N,T_VEH_SOSP,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,ESPACIO,OID,LONG,LAT
220787020,30422,ROBO TRANSEUNTE,6,2022-06-30,26,4,1,FRACCIONAMIENTO,LOS PERICOS,287,CALLE,SANTA CATALINA,NA,NA,"206,,,",CALLE,SANTA CECILIA,3,12,1,0,false,false,9,NA,NA,0,NA,0,2 MENORES,ND,0,N,N,0,0,false,,NO,N,N,"3,28",1000,0,false,1,1,1,904,-102.24822903,21.90700270
220790038,30422,ROBO TRANSEUNTE,7,2022-07-01,26,5,5,FRACCIONAMIENTO,LA CUESTA,923,CALLE,CUESTA DE ORIENTE,NA,NA,"212,,,",CALLE,CUESTA DE SALVATIERRA,7,2,17,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,N,0,N,N,0,0,false,,NO,N,N,3,0,7000,false,1,2,1,905,-102.33745418,21.97495603
220790481,30421,ROBO TRANSEUNTE,7,2022-07-01,26,5,1,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS,323,AVENIDA,CULTURA OTOMI,NA,NA,",,,",CALLE,CULTURA GUAYCURAS,3,6,0,0,false,true,"1,2",NA,NA,0,NA,0,1 HOMBRE,N,0,N,N,0,0,false,,NO,N,N,3,0,0,false,1,1,1,906,-102.24631003,21.91082575
220790376,50102,CONSUMADO TRANSEUNTE,7,2022-07-01,26,5,1,FRACCIONAMIENTO,VISTA DEL SOL I,570,AVENIDA,AGUASCALIENTES SUR,NA,NA,",,,",AVENIDA,ARQUEROS,5,7,7,0,false,true,4,NA,NA,0,NA,0,1 HOMBRE,N,0,N,N,0,0,false,,NO,N,N,39,0,0,false,1,2,1,907,-102.26967284,21.86019379
220791570,30421,ROBO TRANSEUNTE,7,2022-07-01,26,5,1,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,226,AVENIDA,EMILIO PORTES GIL,NA,NA,",,,",AVENIDA,RODOLFO LANDEROS GALLEGOS,4,14,15,0,false,true,"1,2",NA,NA,0,NA,0,6 HOMBRES,ND,0,N,N,0,0,false,,NO,N,N,12,0,0,true,1,10,1,908,-102.25156540,21.90286092
220792172,30422,ROBO TRANSEUNTE,7,2022-07-01,26,5,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,175,CALLE,PROFESOR J GUADALUPE PERALTA,NA,NA,"322,,,",CALLE,ROSALIA MONROY,2,17,20,0,false,false,9,NA,NA,0,NA,0,ND,N,0,N,N,0,0,false,,NO,N,N,3,0,0,false,1,2,1,909,-102.32280887,21.84858495
220792353,30422,ROBO TRANSEUNTE,7,2022-07-01,26,5,1,COLONIA,ZONA CENTRO,501,AVENIDA,FRANCISCO I MADERO,NA,NA,",,,",CALLE,AGUSTIN R GONZALEZ,1,18,2,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,N,N,0,0,false,,NO,MOTOCICLETA,MOTOCICLETA COLOR AZUL CON NEGRO,3,0,0,false,1,20,1,910,-102.28963205,21.88293655
220792731,30422,ROBO TRANSEUNTE,7,2022-07-01,26,5,6,FRACCIONAMIENTO,COSMOS,1122,CALLE,FELIPE ANGELES,NA,NA,"53,,,",CALLE,SIRIO,7,19,29,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,3,N,N,0,0,false,,NO,N,N,3,0,2000,false,1,1,1,911,-102.27866857,22.14178210
220792870,30421,ROBO TRANSEUNTE,7,2022-07-01,26,5,1,CONDOMINIO,CENTRO COMERCIAL GALERIAS,526,CALLE,MARIA DEL ROSARIO ALCALA,NA,NA,",,,",AVENIDA,INDEPENDENCIA,6,19,54,0,false,true,4,NA,NA,0,NA,0,2 HOMBRES,ND,0,N,ROBO CON VIOLENCIA,2,0,false,,NO,COCHE,COCHE CHEVROLET SONIC COLOR NEGRO PLACAS 979ZY8 MOTOCICLETA TIPO CROSS,"3,15",0,0,false,"1,2,4,7",4,0,912,-102.29582555,21.92035204
220794186,30422,ROBO TRANSEUNTE,7,2022-07-02,26,6,1,FRACCIONAMIENTO,MUJERES ILUSTRES,457,PROLONGACION,MARIANO HIDALGO,NA,NA,",,,",AVENIDA,AMALIA GOMEZ ZEPEDA,5,1,34,0,false,true,1,NA,NA,0,NA,0,1 HOMBRE,ND,0,N,N,0,0,false,,NO,N,N,"15,28",500,1300,false,1,1,1,913,-102.24997199,21.84968763
220797587,30421,ROBO TRANSEUNTE,7,2022-07-02,26,6,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR SAN MARCOS",580,CALLE,ERMITA DE SAN SEBASTIAN,NA,NA,",,,",CALLE,GASPAR DE LA FUENTE,3,19,47,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE CONDUCTOR TAXI BLANCO,ND,0,N,N,0,0,false,,NO,TAXI,TAXI COLOR BLANCO,3,0,0,false,1,6,1,914,-102.26274390,21.92721263
220799541,30421,ROBO TRANSEUNTE,7,2022-07-03,26,7,5,COLONIA,CENTRO,938,CALLE,NIAGARA,NA,NA,"408,,,",CALLE,ABASOLO,7,2,37,0,false,true,10,NA,NA,0,NA,0,1 HOMBRE,ND,0,N,N,0,0,false,,NO,N,N,3,0,0,false,1,1,1,915,-102.34584908,21.96460648
220800130,30422,ROBO TRANSEUNTE,7,2022-07-03,26,7,1,CONDOMINIO,OJOCALIENTE INEGI,576,CALLE,LOS CONOS,NA,NA,",,,",AVENIDA,OJOCALIENTE,4,6,14,0,false,false,9,NA,NA,0,NA,0,4 HOMBRES,ND,0,N,N,0,0,false,,NO,N,N,"3,12",0,0,false,1,2,1,916,-102.25117053,21.87768930
220806133,30422,ROBO TRANSEUNTE,7,2022-07-04,27,1,1,COLONIA,ZONA CENTRO,501,CALLE,GENERAL,NA,NA,",,,",CALLE,GENERAL IGNACIO ZARAGOZA,1,15,27,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,N,N,0,0,false,,NO,MOTOCICLETA,MOTOCICLETA COLOR NEGRO,3,0,0,false,1,2,1,917,-102.29237440,21.88727429
220807419,30421,ROBO TRANSEUNTE,7,2022-07-04,27,1,5,COLONIA,LA ESCALERA,1064,CALLE,VISTA ALEGRE,NA,NA,",,,",AVENIDA,CIRCUNVALACION A SOLIDARIDAD,7,20,55,0,false,true,1,NA,NA,0,NA,0,2 HOMBRES,ND,0,N,N,0,0,false,,NO,N,N,"3,12,15,31",0,0,false,1,1,1,918,-102.34774004,21.97452802
220807828,30421,ROBO TRANSEUNTE,7,2022-07-04,27,1,1,FRACCIONAMIENTO,VILLA LOMA DORADA,75,CALLE,VILLA CLARA,NA,NA,",,,",CALLE,CELESTINO LOPEZ SANCHEZ,3,22,27,0,false,true,1,NA,NA,0,NA,0,2 HOMBRES,ND,0,N,N,0,0,false,,NO,N,N,3,0,5000,false,1,2,1,919,-102.24690710,21.92733512
220808871,30422,ROBO TRANSEUNTE,7,2022-07-05,27,2,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR ESTACION",354,AVENIDA,MANUEL ZAVALA MADRIGAL,NA,NA,",,,",CALLE,VALLE DE LOS ROMEROS,3,7,0,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,N,N,0,0,false,,NO,N,N,3,0,0,false,1,1,1,920,-102.26254079,21.93672977
220809102,30422,ROBO TRANSEUNTE,7,2022-07-05,27,2,1,FRACCIONAMIENTO,MUJERES ILUSTRES,457,AVENIDA,POLIDUCTO,NA,NA,",,,",AVENIDA,MARIANO HIDALGO,5,8,43,0,false,false,9,NA,NA,0,NA,0,ND,N,0,N,N,0,0,false,,NO,N,N,3,0,2000,false,1,1,1,921,-102.25333248,21.84979841
220811358,30422,ROBO TRANSEUNTE,7,2022-07-05,27,2,1,COLONIA,ZONA CENTRO,501,CALLE,GENERAL ALVARO OBREGON,NA,NA,",,,",CALLE,CONDELL,1,20,9,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,N,N,0,0,false,,NO,MOTOCICLETA,MOTOCICLETA COLOR VERDE CON NEGRO,3,0,10000,false,1,1,1,922,-102.29447726,21.88556882
220812830,30422,ROBO TRANSEUNTE,7,2022-07-06,27,3,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR GUADALUPE",342,AVENIDA,POLIDUCTO,NA,NA,",,,",AVENIDA,CRISTOBAL DE TORRES,3,8,37,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,N,N,0,0,false,,NO,N,N,3,0,0,false,1,1,1,923,-102.25954024,21.92796172
220813699,30421,ROBO TRANSEUNTE,7,2022-07-06,27,3,6,FRACCIONAMIENTO,PLUTARCO ELIAS CALLES,1114,CALLE,MARIA DE LUNA,NA,NA,",,,",CALLE,INGENIERO ALFONSO BERNAL SAHAGUN,7,13,32,0,false,true,3,NA,NA,0,NA,0,1 HOMBRE,ND,0,N,N,0,0,false,,NO,N,N,14,0,0,false,1,1,1,924,-102.28677614,22.14607509
220813793,30421,ROBO TRANSEUNTE,7,2022-07-06,27,3,5,CONDOMINIO,RANCHO SAN PEDRO,1060,PRIVADA,APALOSA,NA,NA,",,,",AVENIDA,SAN PEDRO,7,13,53,0,false,true,"1,3",NA,NA,0,NA,0,2 HOMBRES,ND,0,N,N,0,0,false,,NO,N,N,"3,28",500,7500,false,1,1,1,925,-102.33602651,21.95506103
