FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,HORA,MINUTOS,HORARIO,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,SEX_AGRE,SEX_AFECT,CAT_SOS,TRASL_HOSP,FALLECIDOS,DETENIDO,DET_SPM,LESIONADO,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,LON,CASIOPEA,OID,LONG,LAT
230450870,30411,AUTOPARTES,4,2023-04-11,15,2,8,38,18,1,FRACCIONAMIENTO,SALTO DE OJOCALIENTE,84,CALLE,JOSE MARIA DE LA FRAGUA,0,NA,",,,",AVENIDA,AGUASCALIENTES ORIENTE,5,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,24,3000,0,false,1,2,TRACTOCAMION,ND,ND,1,13,-102.25280000,0,793,-102.25283877,21.86706203
230450890,30403,AUTOPARTES,4,2023-04-11,15,2,8,45,19,1,FRACCIONAMIENTO,INFONAVIT MORELOS,93,ANDADOR,SEGUNDO UXMAL,0,NA,",,,",CALLE,UXMAL,5,false,false,9,1 HOMBRE,ND,H,H,8,false,0,0,ND,0,N,N,"11,25",0,0,false,4,2,AUTOMOVIL,RENAULT,KWID,1,13,-102.25700000,0,794,-102.25701575,21.86513749
230453831,30403,AUTOPARTES,4,2023-04-11,15,2,21,8,23,1,FRACCIONAMIENTO,PRIMO VERDAD INEGI,198,AVENIDA,ARQUEROS,0,NA,",,,",AVENIDA,ARQUEROS,5,false,false,9,ND,ND,ND,ND,8,false,0,0,ND,0,N,N,41,0,0,false,4,4,CAMIONETA,DODGE,JOURNEY,1,6,-102.27040000,0,795,-102.27040939,21.87025124
230455024,30411,AUTOPARTES,4,2023-04-12,15,3,7,55,19,1,FRACCIONAMIENTO,FIDEL VELAZQUEZ,216,CALLE,PLAZA DEL TROCADERO,0,NA,"205,A,,",CALLE,FUENTE DEL TROCADERO,4,false,false,9,ND,ND,ND,m,8,false,0,0,ND,0,N,N,24,0,0,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,2,-102.25550000,0,796,-102.25556966,21.89317858
230455048,30411,AUTOPARTES,4,2023-04-12,15,3,8,3,20,5,COLONIA,CENTRO,938,CALLE,BELTRAL,0,NA,"507,,,",CALLE,BENIGNO CHAVEZ,7,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,24,0,0,true,2,2,MOTOCICLETA,YAMAHA,ND,1,1,-102.34650000,0,797,-102.34650698,21.96574218
230455584,30403,AUTOPARTES,4,2023-04-12,15,3,10,23,20,1,FRACCIONAMIENTO,BOSQUES DEL PRADO SUR,153,AVENIDA,AGUASCALIENTES NORTE,0,NA,",,,",CALLE,SAN JULIAN,6,true,false,9,2 HOMBRES,ND,H,H,8,false,0,0,ND,0,CAMIONETA,"HONDA ODISSEY GRIS RATA
CON PLACAS DE NUEVO LEON","31,38,3",0,60000,false,4,1,AUTOMOVIL,VOLKSWAGEN,PASSAT,1,4,-102.30730000,0,798,-102.30735972,21.91583329
230459219,30411,AUTOPARTES,4,2023-04-13,15,4,2,46,21,1,FRACCIONAMIENTO,INFONAVIT MORELOS,93,CALLE,UXMAL,0,NA,",,,",AVENIDA,AGUASCALIENTES SUR,5,true,false,9,1 HOMBRE,EL RICKI,H,H,8,false,0,0,ND,0,N,N,"46,24,11",0,0,false,2,3,MOTOCICLETA,ITALIKA,ND,1,13,-102.25690000,0,799,-102.25696228,21.86025913
230463463,30403,AUTOPARTES,4,2023-04-14,15,5,0,59,25,1,FRACCIONAMIENTO,SOLIDARIDAD IV,195,CALLE,J GUDALUPE ZAMARRIPA,0,NA,"217,,,",CALLE,MARIANO HIDALGO,5,false,false,9,ND,ND,ND,M,8,false,0,0,ND,0,N,N,41,0,0,false,4,0,AUTOMOVIL,NISSAN,SENTRA,1,1,-102.25450000,0,800,-102.25452544,21.85159368
230465248,30411,AUTOPARTES,4,2023-04-14,15,5,13,18,21,1,FRACCIONAMIENTO,MODERNO,521,CALLE,26 DE MARZO,0,NA,"522,,,",CALLE,PRIMAVERA,6,false,false,9,ND,ND,ND,ND,8,false,0,0,ND,0,N,N,"31,12,24",0,5000,false,1,3,AUTOMOVIL,CHEVROLET,MATIZ,1,1,-102.31330000,0,801,-102.31333982,21.88270518
230465965,30411,AUTOPARTES,4,2023-04-14,15,5,16,3,27,1,FRACCIONAMIENTO,BENITO PALOMINO DENA,220,CALLE,HECTOR VILLAR MARTINEZ,0,NA,245,BOULEVARD,GUADALUPANO,3,false,false,9,1 HOMBRE,"""EL GALLETA"" CARLOS GONZALEZ",H,H,8,false,0,0,ND,0,N,N,"29,27,28",1500,0,false,3,1,AUTOMOVIL,ND,ND,1,1,-102.24700000,0,802,-102.24707656,21.91690629
