FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,FALLECIDOS,PER_SOSP,ALIAS,DETENIDO,LESIONADO,TRASL_HOSP,T_VEH_SOSP,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,ESPACIO,TIPO_ROBO,LON,OID,LONG,LAT
211092902,30422,ROBO TRANSEUNTE,9,2021-09-14,37,2,1,FRACCIONAMIENTO,HACIENDA SAN MARCOS,317P,CALLE,HACIENDA SANTORAL,0,NA,",,,",AVENIDA,HEROE INMORTAL,5,18,10,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,3,0,0,false,1,1,1,TRANSEUNTE,-102.26320000,1325,-102.26326545,21.80694329
211093236,30422,ROBO TRANSEUNTE,9,2021-09-14,37,2,1,BARRIO,GUADALUPE,910,CALLE,PLAZUELA JUAREZ,0,NA,",,,",CALLE,GUADALUPE,1,19,34,0,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,29,0,0,false,1,27,2,OPORTUNISTA,-102.29890000,1326,-102.29892763,21.88338515
211097081,30422,ROBO TRANSEUNTE,9,2021-09-15,37,3,7,COMUNIDAD,FRESNILLO,235P,CALLE,MIGUEL HIDALGO,0,NA,",,,",CALLE,ND,7,16,26,0,false,false,9,NA,NA,0,NA,0,1 MUJER,ND,0,0,false,N,N,3,0,0,false,1,1,1,TRANSEUNTE,-102.33530000,1327,-102.33536460,22.24489265
211104185,30422,ROBO TRANSEUNTE,9,2021-09-16,37,4,1,COLONIA,ALTAVISTA,922,CALLE,SANTA IRENE,0,NA,",,,",CALLE,HOMBRES ILUSTRES,6,22,50,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,3,0,0,false,1,1,1,OPORTUNISTA,-102.30380000,1328,-102.30381366,21.89290741
211097171,30421,ROBO TRANSEUNTE,9,2021-09-15,37,3,5,FRACCIONAMIENTO,TROJES DEL PEDREGAL I,118,AVENIDA,PASEO DE LAS MARAVILLAS,0,NA,",,,",CALLE,MIGUEL ALEMAN,7,16,52,0,false,true,4,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,BICICLETA,BICICLETA COLOR ROJO,14,0,900,false,1,1,1,MARIPOSA,-102.32420000,1329,-102.32424309,21.93824994
211097658,30421,ROBO TRANSEUNTE,9,2021-09-15,37,3,6,BARRIO,PALO ALTO,92,CALLE,JOSEFA ORTIZ DE DOMIGUEZ,0,NA,"10,,,",CALLE,FRANCISCO I MADERO SUR,7,19,7,0,false,true,1,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,N,N,3,0,2000,false,1,1,1,TRANSEUNTE,-102.27380000,1330,-102.27386980,22.14499501
211097706,30421,ROBO TRANSEUNTE,9,2021-09-15,37,3,1,FRACCIONAMIENTO,RESIDENCIAL LOS PIRULES,1073,AVENIDA,AGUASCALIENTES PONIENTE,0,NA,",,,",CALLE,MAGNOLIA,2,19,26,0,false,true,3,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,N,N,"28,31",150,150,false,1,6,1,TRANSEUNTE,-102.31860000,1331,-102.31866670,21.87114307
211098582,30421,ROBO TRANSEUNTE,9,2021-09-15,37,3,1,FRACCIONAMIENTO,OJOCALIENTE I,741,CALLE,EL NIAGARA,0,NA,"113,,,",CALLE,LOS POCITOS,4,22,24,0,false,true,3,NA,NA,0,NA,0,10 HOMBRES,ND,0,0,false,N,N,3,0,4000,false,1,57,1,TRANSEUNTE,-102.25670000,1332,-102.25674141,21.88245617
211098776,30421,ROBO TRANSEUNTE,9,2021-09-15,37,3,1,FRACCIONAMIENTO,SOLIDARIDAD IV,584,AVENIDA,POLIDUCTO,0,NA,",,,",CALLE,CARLOS MARIA DE BUSTAMANTE,5,22,22,0,false,true,1,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,"3,12,15,28,29",350,350,false,1,1,1,TRANSEUNTE,-102.25310000,1333,-102.25314348,21.85289978
211098917,30422,ROBO TRANSEUNTE,9,2021-09-15,37,4,1,CONDOMINIO,OJOCALIENTE FOVISSSTE I,739,AVENIDA,ANTARES,0,NA,",,,",AVENIDA,PASEO DE LA CRUZ,5,23,45,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE 1 MUJER EMBARAZADA,ND,1,0,false,N,N,3,0,0,false,1,4,1,TRANSEUNTE,-102.25930000,1334,-102.25935853,21.87375301
