FOLIO,ID_INC,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,TIPO_VIAL2,NOM_VIAL2,TIPO_VIALP,NOM_VIALP,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,HORARIO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,OID,INCIDENTE,LONG,LAT
13663,30411,1,2019-01-14,1,22,28,1,FRACCIONAMIENTO,LA ESTRELLA,483,AVENIDA,PASEO DE LA SOLIDARIDAD,NA,",,,",CALLE,LIRA,CALLE,VIA LACTEA,CALLE,PRIMERO DE MAYO,5,false,false,9,ND,AUTOLAVADO,0,0,N,N,24,"26,27",0,0,false,3,1,AUTOMOVIL,NISSAN,TSURU,1,1,58,Robo de autopartes y cristalazo,-102.28320241,21.90300550
13809,30411,1,2019-01-15,2,6,42,1,FRACCIONAMIENTO,J GUADALUPE PERALTA GAMEZ,411,CALLE,DESIDERIO MACIAS SILVA,NA,"112,,,",CALLE,URBANISMO,CALLE,JOSE TRINIDAD VELA SALAS,CALLE,CATEDRATICAS,4,false,false,9,ND,ND,0,0,N,N,19,"22,23",0,4000,false,3,2,AUTOMOVIL,NISSAN,SENTRA,1,1,59,Robo de autopartes y cristalazo,-102.24032319,21.87246828
14098,30411,1,2019-01-15,2,15,21,1,FRACCIONAMIENTO,VILLAS DEL PUERTECITO,700,CALLE,PUERTO DE ENCENADA,NA,",,,",CALLE,PUERTO LAZARO CARDENAS,CALLE,PUERTO SALINA CRUZ,CALLE,PUERTO ISLA DEL CARMEN,5,false,false,9,"H, CON UN MENOR",ND,1,0,N,N,21,11,0,0,false,2,2,CAMIONETA,FORD,ND,1,4,60,Robo de autopartes y cristalazo,-102.24796400,21.93835538
3302,30411,1,2019-01-04,5,2,58,5,COMUNIDAD,EL REFUGIO,188P,CALLE,PRIVADA,NA,"116,,,",CALLE,SANTA MARTHA,N,N,N,N,7,false,false,9,ND,ND,0,0,N,N,26,22,0,0,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,1,61,Robo de autopartes y cristalazo,-102.32390998,22.01150963
8780,30411,1,2019-01-09,3,21,32,1,FRACCIONAMIENTO,NATURA,699,CIRCUITO,PERICO,NA,"501,,,",CIRCUITO,PERICO,CIRCUITO,PERICO,CALLE,FEDERICO MENDEZ,5,false,false,9,H,ND,1,0,N,N,20,24,0,0,false,1,1,CAMIONETA,ND,ND,1,4,62,Robo de autopartes y cristalazo,-102.25259248,21.93265611
10620,30403,1,2019-01-12,6,1,38,1,FRACCIONAMIENTO,PENSADORES MEXICANOS,774,CALLE,OCTAVIO PAZ,NA,"625,,,",CALLE,LUIS ESPOTA,CALLE,JUAN RULFO,CALLE,EFRAIN HUERTA,5,false,false,9,ND,ND,0,0,N,N,27,41,0,0,false,4,4,AUTOMOVIL,VOLKSWAGEN,JETTA,1,1,63,Robo de autopartes y cristalazo,-102.25889666,21.91467465
11492,30403,1,2019-01-12,6,23,4,1,RESIDENCIAL,LOS FRESNOS (RESIDENCIAL CAMPESTRE),313PR,AVENIDA,GUADALUPE GONZALEZ,NA,"1116,,,",N,N,N,N,N,N,6,false,false,9,ND,ND,0,0,N,N,24,38,0,0,false,4,1,AUTOMOVIL,ND,ND,20,28,64,Robo de autopartes y cristalazo,-102.34813987,21.91036256
17280,30403,1,2019-01-19,6,5,58,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,ROSALIA MONRROY,NA,"101,,,",CALLE,RICARDO GARCIA MENDOZA,CALLE,SOBERANA CONVENCION MILITAR REVOLUCIONARIA,CALLE,ANITA BRENER,2,false,false,9,ND,ND,0,0,N,N,26,41,0,0,false,4,4,AUTOMOVIL,VOLKSWAGEN,JETTA,1,6,65,Robo de autopartes y cristalazo,-102.31885173,21.85585129
14556,30403,1,2019-01-16,3,2,26,5,FRACCIONAMIENTO,BUENAVISTA,198,CALLE,TULIPAN,NA,"415,,,",CALLE,PROLONGACION PLAN DE ALLENDE,CALLE,RESS FISHER,CALLE,NARDO,7,false,false,9,ND,ND,0,0,N,N,25,41,0,0,false,4,4,AUTOMOVIL,RENAULT,LOGAN,1,1,66,Robo de autopartes y cristalazo,-102.35785882,21.96886964
19553,30403,1,2019-01-21,1,8,4,1,FRACCIONAMIENTO,ESPAÑA,1052,CALLE,GRANADA,NA,"127,,,",CALLE,ESPAÐA,AVENIDA,DE LOS MAESTROS,CALLE,MALAGA,2,false,false,9,ND,ND,0,0,N,N,27,41,0,0,false,4,4,AUTOMOVIL,VOLKSWAGEN,JETTA,1,1,67,Robo de autopartes y cristalazo,-102.31402644,21.86158169
